time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,14.6,0,0,0,0,0,0,0,0,0,9.8,0,1,1,1
15,9.733333333333333,0.06666666666666667,0,1,0,0,0,0,0,0,18.266666666666666,0,1,1,1
20,7.3,0.15,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,22.65,0,1,1,1
25,5.84,0.12,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,23.88,0,1,1,1
30,4.866666666666666,0.16666666666666666,0,0.6,0,0,0,0.4,0,0,24.133333333333333,0,1,1,1
35,4.171428571428572,0.17142857142857143,0,0.5,0,0,0,0.5,0,0,24.37142857142857,0,1,1,1
40,3.65,0.15,0,0.5,0,0,0,0.5,0,0,25.2,0,1,1,1
45,3.2444444444444445,0.15555555555555556,0,0.5714285714285714,0,0,0,0.42857142857142855,0,0,26,0,1,1,1
50,2.92,0.18,0,0.5555555555555556,0,0,0,0.4444444444444444,0,0,25.42,0,1,1,1
55,2.6545454545454548,0.16363636363636364,0,0.5555555555555556,0,0,0,0.4444444444444444,0,0,25.21818181818182,0,1,1,1
60,2.433333333333333,0.16666666666666666,0,0.5,0,0,0,0.5,0,0,24.85,0,1,1,1
65,2.246153846153846,0.16923076923076924,0,0.5454545454545454,0,0,0,0.45454545454545453,0,0,26.43076923076923,0,1,1,1
70,2.085714285714286,0.17142857142857143,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,24.914285714285715,0,1,1,1
75,1.9466666666666668,0.16,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,23.253333333333334,0,1,1,1
