time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0,1,0,0,0,0,0,0,37.8,0,1,1,1
10,0,0.1,0,1,0,0,0,0,0,0,25.9,0,1,1,1
15,0,0.2,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,26.2,0,1,1,1
20,0,0.25,0,0.6,0,0,0,0.4,0,0,28.95,0,1,1,1
25,0,0.24,0,0.5,0,0,0,0.3333333333333333,0.16666666666666666,0,26.4,0,1,1,1
30,0,0.23333333333333334,0,0.5714285714285714,0,0,0,0.2857142857142857,0.14285714285714285,0,27.133333333333333,0,1,1,1
35,0,0.22857142857142856,0,0.5,0,0,0,0.375,0.125,0,31.514285714285716,0,1,1,1
40,0,0.25,0,0.5,0,0,0,0.4,0.1,0,30.2,0,1,1,1
45,0,0.24444444444444444,0,0.5454545454545454,0,0,0,0.36363636363636365,0.09090909090909091,0,29.288888888888888,0,1,1,1
50,0,0.24,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,27.48,0,1,1,1
55,0,0.21818181818181817,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,25.6,0,1,1,1
