time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,6.6,0,0,0,0,0,0,0,0,0,12.4,0,1,1,1
10,3.3,0.2,0,0.5,0,0,0,0.5,0,0,23.9,0,1,1,1
15,2.2,0.2,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,28.333333333333332,0,1,1,1
20,1.65,0.3,0,0.5,0,0,0,0.3333333333333333,0.16666666666666666,0,33.2,0,1,1,1
25,1.32,0.28,0,0.5714285714285714,0,0,0,0.2857142857142857,0.14285714285714285,0,33.72,0,1,1,1
30,1.1,0.3,0,0.5555555555555556,0,0,0,0.3333333333333333,0.1111111111111111,0,32.93333333333333,0,1,1,1
35,0.9428571428571428,0.2857142857142857,0,0.5,0,0,0,0.4,0.1,0,37.714285714285715,0,1,1,1
40,0.825,0.3,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,34.85,0,1,1,1
