time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0,1,0,0,0,0,0,0,23.4,0,1,0,1
10,0,0.2,0,0.5,0,0,0,0.5,0,0,25.5,0,1,0,1
15,0,0.2,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,22.8,0,1,0,1
20,0,0.25,0,0.6,0,0,0,0.4,0,0,24.5,0,1,0,1
25,0,0.24,0,0.5,0,0,0,0.5,0,0,24.72,0,1,0,1
30,0,0.26666666666666666,0,0.5,0,0,0,0.5,0,0,24.366666666666667,0,1,0,1
35,0,0.2571428571428571,0,0.5555555555555556,0,0,0,0.4444444444444444,0,0,27.742857142857144,0,1,0,1
40,0,0.25,0,0.5,0,0,0,0.5,0,0,26.1,0,1,0,1
45,0,0.2222222222222222,0,0.5,0,0,0,0.5,0,0,23.2,0,1,0,1
