time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,8.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,10.6,0,0,0,0,0,0,0,0,0,12.2,0,1,1,1
15,7.066666666666666,0.13333333333333333,0,0.5,0,0,0,0.5,0,0,16.6,0,1,1,1
20,5.3,0.2,0,0.5,0,0,0,0.5,0,0,22.05,0,1,1,1
25,4.24,0.2,0,0.6,0,0,0,0.4,0,0,27.04,0,1,1,1
30,3.533333333333333,0.23333333333333334,0,0.5714285714285714,0,0,0,0.2857142857142857,0.14285714285714285,0,27.666666666666668,0,1,1,1
35,3.0285714285714285,0.22857142857142856,0,0.5,0,0,0,0.375,0.125,0,27.142857142857142,0,1,1,1
40,2.65,0.225,0,0.5555555555555556,0,0,0,0.3333333333333333,0.1111111111111111,0,27.225,0,1,1,1
45,2.3555555555555556,0.2222222222222222,0,0.5,0,0,0,0.4,0.1,0,29,0,1,1,1
50,2.12,0.22,0,0.5454545454545454,0,0,0,0.36363636363636365,0.09090909090909091,0,29.5,0,1,1,1
55,1.9272727272727272,0.21818181818181817,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,28.98181818181818,0,1,1,1
