time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0,0,0,0,0,0,0,0,0,22,0,1,1,1
10,0,0.2,0,0.5,0,0,0,0,0.5,0,25.1,0,1,0,1
15,0,0.13333333333333333,0,0.5,0,0,0,0,0.5,0,16.733333333333334,0,1,0,1
20,0,0.1,0,0.5,0,0,0,0,0.5,0,14.15,0,1,0,1
25,0,0.12,0,0.6666666666666666,0,0,0,0,0.3333333333333333,0,16.8,0,1,0,1
30,0,0.16666666666666666,0,0.6,0,0,0,0.2,0.2,0,21.266666666666666,0,0,0,1
35,0,0.17142857142857143,0,0.5,0,0,0,0.3333333333333333,0.16666666666666666,0,22.457142857142856,0,0,0,1
40,0,0.2,0,0.5,0,0,0,375,125,0,23175,0,0,0,1
45,0,0.17777777777777778,0,0.5,0,0,0,375,125,0,21.333333333333332,0,0,0,1
