time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,4.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,5,0.1,0,1,0,0,0,0,0,0,15.5,0,1,1,1
15,3.3333333333333335,0.13333333333333333,0,0.5,0,0,0,0.5,0,0,27.133333333333333,0,1,1,1
20,2.5,0.2,0,0.5,0,0,0,0.5,0,0,30.7,0,1,1,1
25,2,0.24,0,0.5,0,0,0,0.5,0,0,34.64,0,1,1,1
30,1.6666666666666667,0.26666666666666666,0,0.5,0,0,0,0.5,0,0,36.4,0,1,1,1
35,1.4285714285714286,0.2571428571428571,0,0.5555555555555556,0,0,0,0.4444444444444444,0,0,36,0,1,1,1
40,1.25,0.3,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,35,0,1,1,1
45,1.1111111111111112,0.26666666666666666,0,0.5,0,0,0,0.4166666666666667,0.08333333333333333,0,31.288888888888888,0,1,1,1
