time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,8.6,0,0,0,0,0,0,0,0,6.4,8.8,0,1,1,1
10,4.3,0.3,0,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,5.2,33.8,0,1,1,1
15,2.8666666666666667,0.6,0,0.3333333333333333,0.1111111111111111,0,0,0.5555555555555556,0,3.466666666666667,49.46666666666667,0,1,1,1
20,2.15,0.85,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.058823529411764705,0,0.47058823529411764,0,2.6,52.25,0,1,1,1
25,1.72,0.76,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.05263157894736842,0,0.42105263157894735,0,2.08,42.64,0.64,1,1,1
30,1.4333333333333333,0.6666666666666666,0.15,0.15,0.25,0.05,0,0.4,0,1.7333333333333334,35.53333333333333,1.0333333333333334,1,1,1
35,1.2285714285714286,0.5714285714285714,0.15,0.15,0.25,0.05,0,0.4,0,4.6571428571428575,30.457142857142856,1.2,1,1,1
40,1.075,0.525,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.047619047619047616,0,0.38095238095238093,0,11.55,30.4,1.05,1,1,1
45,0.9555555555555556,0.4888888888888889,0.13636363636363635,0.13636363636363635,0.3181818181818182,0.045454545454545456,0,0.36363636363636365,0,14.622222222222222,27.866666666666667,1.2222222222222223,1,1,1
50,0.86,0.44,0.13636363636363635,0.13636363636363635,0.3181818181818182,0.045454545454545456,0,0.36363636363636365,0,13.16,25.08,1.46,1,1,1
55,0.7818181818181819,0.4,0.13636363636363635,0.13636363636363635,0.3181818181818182,0.045454545454545456,0,0.36363636363636365,0,11.963636363636363,22.8,1.6545454545454545,1,1,1
60,0.7166666666666667,0.36666666666666664,0.13636363636363635,0.13636363636363635,0.3181818181818182,0.045454545454545456,0,0.36363636363636365,0,10.966666666666667,22.116666666666667,1.5666666666666667,1,1,1
65,0.6615384615384615,0.3384615384615385,0.13636363636363635,0.13636363636363635,0.3181818181818182,0.045454545454545456,0,0.36363636363636365,0,10.123076923076923,20.415384615384614,1.4461538461538461,1,1,1
