time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0,0,0,0,0,0,0,0,0,14.8,0,1,1,0
10,0,0.2,0,0.5,0,0,0,0,0.5,0,38.8,0,0,0,0
15,0,0.3333333333333333,0,0.4,0.2,0,0,0,0.4,0,39.6,0,0,0,0
20,0,0.45,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,38.85,0,0,0,0
24,2.75,0.375,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,36.208333333333336,0,0,0,0
29,2.2758620689655173,0.41379310344827586,0,0.3333333333333333,0.3333333333333333,0,0,0.08333333333333333,0.25,0.3103448275862069,36.48275862068966,0.2413793103448276,0,0,0
34,1.9411764705882353,0.35294117647058826,0,0.3333333333333333,0.3333333333333333,0,0,0.08333333333333333,0.25,9.058823529411764,31.11764705882353,0.20588235294117646,0,0,0
39,1.6923076923076923,0.3333333333333333,0,0.3076923076923077,0.38461538461538464,0,0,0.07692307692307693,0.23076923076923078,15.58974358974359,27.128205128205128,0.358974358974359,0,0,0
44,1.5,0.29545454545454547,0,0.3076923076923077,0.38461538461538464,0,0,0.07692307692307693,0.23076923076923078,20.636363636363637,24.931818181818183,0.3409090909090909,0,0,0
