time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.6,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0,74.8,0,0,0,0
10,0,0.7,0,0.5714285714285714,0,0,0.42857142857142855,0,0,0,79.9,0,0,0,0
15,0,0.8,0,0.5,0,0,0.3333333333333333,0,0.16666666666666666,0,83.53333333333333,0,0,0,0
20,0,0.7,0,0.5,0,0,0.2857142857142857,0,0.21428571428571427,0,81.35,0,0,0,0
24,0,0.7083333333333334,0,0.47058823529411764,0.058823529411764705,0,0.23529411764705882,0,0.23529411764705882,0,78.66666666666667,0,0,0,0
29,0,0.5862068965517241,0,0.47058823529411764,0.058823529411764705,0,0.23529411764705882,0,0.23529411764705882,0,65.10344827586206,0,0,0,0
