time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0.8,0.2,1,0,0,0,0,0,0,0,52.4,0,1,1,0
10,0.4,0.5,0.6,0,0,0,0.4,0,0,0,50.4,0,1,1,0
15,0.26666666666666666,0.4,0.5,0,0,0,0.5,0,0,0,43.2,0,1,1,0
20,0.2,0.45,0.5555555555555556,0,0,0,0.4444444444444444,0,0,0,43.7,0,1,1,0
25,0.16,0.4,0.5,0,0,0,0.5,0,0,0,39.2,0,1,1,0
30,0.13333333333333333,0.43333333333333335,0.38461538461538464,0.15384615384615385,0,0,0.46153846153846156,0,0,0,43.86666666666667,0,1,1,0
35,0.11428571428571428,0.45714285714285713,0.3125,0.1875,0,0,0.5,0,0,0,46.628571428571426,0,1,1,0
40,0.1,0.4,0.3125,0.1875,0,0,0.5,0,0,0,40.8,0,1,1,0
