time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10,0,0,0,0,0,0,0,0,0,0,0,0.2,1,1,0
15,0,0.2,0.6666666666666666,0,0,0,0,0.3333333333333333,0,0,10.733333333333333,0.13333333333333333,0,0,0
20,0,0.4,0.5,0,0,0,0,0.5,0,0,18.55,0.1,0,0,0
25,0,0.48,0.4166666666666667,0.08333333333333333,0,0,0,0.5,0,0,23.8,0.08,0,0,0
30,0,0.5333333333333333,0.3125,0.1875,0,0,0,0.5,0,0,30.833333333333332,0.06666666666666667,0,0,0
35,0,0.5714285714285714,0.25,0.25,0,0,0,0.5,0,0,33.714285714285715,0.05714285714285714,0,0,0
40,0,0.5,0.25,0.25,0,0,0,0.5,0,0,31.425,0.05,0,0,0
