time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0,0,0,0,0,0,0,0,0,10.2,0,1,1,0
10,0,0.5,0.6,0,0,0,0,0.4,0,0,35.2,0,0,0,0
15,0,0.5333333333333333,0.375,0.125,0,0,0,0.5,0,0,45.06666666666667,0,0,0,0
20,0,0.65,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,0.15384615384615385,0.3076923076923077,0,0,56.15,0,0,0,0
25,0,0.76,0.15789473684210525,0.2631578947368421,0.21052631578947367,0,0.15789473684210525,0.21052631578947367,0,0,56.04,0,0,0,0
30,0.23333333333333334,1,0.1,0.16666666666666666,0.13333333333333333,0,0.4666666666666667,0.13333333333333333,0,0,56.53333333333333,0,0,0,0
35,0.6571428571428571,1,0.08571428571428572,0.14285714285714285,0.2571428571428571,0,0.4,0.11428571428571428,0,0.2571428571428571,52.42857142857143,0,0,0,0
