time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,8.8,0.2,0,1,0,0,0,0,0,0,33,0,1,0,0
10,4.4,0.5,0,0.4,0.2,0,0.2,0.2,0,0,57.2,0,1,0,0
15,2.933333333333333,0.6,0,0.4444444444444444,0.1111111111111111,0,0.1111111111111111,0.3333333333333333,0,0,61.266666666666666,0,1,0,0
20,2.2,0.55,0,0.45454545454545453,0.09090909090909091,0,0.09090909090909091,0.36363636363636365,0,0,56.4,0,1,0,0
25,1.76,0.44,0,0.45454545454545453,0.09090909090909091,0,0.09090909090909091,0.36363636363636365,0,1.48,47.24,0,1,0,0
