time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0,0,0,0,0,0,0,0,0,13.8,0,1,1,1
10,0,0.2,0,0.5,0,0,0,0.5,0,0,31.4,0,1,1,1
15,0,0.26666666666666666,0,0.5,0,0,0,0.5,0,0,36.6,0,1,1,1
20,0,0.3,0,0.5,0,0,0,0.5,0,0,38.15,0,1,1,1
25,0,0.32,0,0.5,0,0,0,0.5,0,0,37.32,0,1,1,1
30,2,0.26666666666666666,0,0.5,0,0,0,0.5,0,1.7,37.03333333333333,0,1,1,1
35,3,0.2571428571428571,0,0.4444444444444444,0.1111111111111111,0,0,0.4444444444444444,0,2.6,34.8,0,1,1,1
40,2.625,0.225,0,0.4444444444444444,0.1111111111111111,0,0,0.4444444444444444,0,2.275,30.45,0.55,1,1,1
45,2.3333333333333335,0.2,0,0.4444444444444444,0.1111111111111111,0,0,0.4444444444444444,0,2.022222222222222,27.066666666666666,0.9555555555555556,1,1,1
