time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,1,0,0,0,0,0,0,0,39,0,0,0,0
10,0,0.5,0.6,0,0,0,0.4,0,0,0,45.5,0,0,0,0
15,0,0.6,0.4444444444444444,0,0,0,0.5555555555555556,0,0,0,38.666666666666664,0,0,0,0
20,0,0.6,0.4166666666666667,0,0,0,0.5833333333333334,0,0,0,35.75,0,0,0,0
25,1.72,0.48,0.4166666666666667,0,0,0,0.5833333333333334,0,0,0,29.44,0,0,0,0
30,3.4,0.4,0.4166666666666667,0,0,0,0.5833333333333334,0,0,1.1,26.366666666666667,0,0,0,0
35,2.914285714285714,0.45714285714285713,0.3125,0,0.25,0,0.4375,0,0,3.257142857142857,31.2,0,0,0,0
40,2.55,0.425,0.29411764705882354,0,0.29411764705882354,0,0.4117647058823529,0,0,7.35,29.2,0,0,0,0
45,2.2666666666666666,0.37777777777777777,0.29411764705882354,0,0.29411764705882354,0,0.4117647058823529,0,0,8.666666666666666,27.666666666666668,0,0,0,0
50,2.04,0.4,0.35,0,0.25,0,0.35,0,0.05,7.8,28.92,0,0,0,0
