time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.4,0.2,0,0,0,0,0.2,0,0,17,0,1,1,1
10,0,0.13999999999999999,0.12,0,0,0,0,0.02,0,0,12.3,0,1,1,1
15,0,0.076,0.008,0,0,0,0,0.068,0,0,6.42,0,1,1,1
20,0,0.1038,0.0504,0,0,0,0,0.0534,0,0,5.871,0,1,1,1
25,0,0.084152,0.042016,0,0,0,0,0.04213599999999999,0,0,4.51484,0,1,1,1
30,0,0.0361384,0.03473386666666667,0,0,0,0,0.001404533333333333,0,0,3.7838279999999997,0,1,1,1
35,0,0.058175382857142854,0.02956382476190476,0,0,0,0,0.028611558095238094,0,0,4.165252228571428,0,1,1,1
40,0,0.02645438457142857,0.000739095619047619,0,0,0,0,0.0007152889523809523,0.025,0,2.254131305714286,0,1,1,1
