time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,12.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,8.66,0,0,0,0,0,0,0,0,0,0,0,1,1,1
15,0.5773333333333334,0.06666666666666667,0,0.06666666666666667,0,0,0,0,0,0,9.266666666666667,0,1,0,1
20,0.02886666666666667,0.10333333333333332,0,0.05333333333333333,0,0,0,0.05,0,0,12.713333333333333,0,1,0,1
25,0.0011546666666666667,0.004133333333333333,0,0.002133333333333333,0,0,0,2,0,0,4.148533333333334,0,1,0,1
30,0.00003848888888888889,0.06680444444444444,0,0.033404444444444445,0,0,0,0.00006666666666666667,0.03333333333333333,0,7.671617777777778,0,1,0,1
35,0.0000010996825396825397,0.030480126984126985,0,0.0009544126984126984,0,0,0,0.028573333333333333,0.0009523809523809524,0,4.01918907936508,0,1,0,1
40,2.749206349206349e-8,0.05076200317460318,0,0.025023860317460317,0,0,0,0.025714333333333332,0.00002380952380952381,0,6.425479726984127,0,1,0,1
45,6.109347442680775e-10,0.023350266737213406,0,0.022778308007054677,0,0,0,0.0005714296296296296,5.291005291005291e-7,0,5.9872328828218695,0,1,0,1
50,1.221869488536155e-11,0.020467005334744267,0,0.00045556616014109355,0,0,0,0.02001142859259259,1.0582010582010582e-8,0,1.8597446576564374,0,1,0,1
55,2.2215808882475544e-13,0.00037212736972262305,0,0.000008283021093474429,0,0,0,0.0003638441562289562,1.924001924001924e-10,0,0.03381353923011704,0,1,0,1
