time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0,0.2,0,0,0,0,0,0,29,0,1,1,1
10,0,0.12,0,0.02,0,0,0,0.1,0,0,25.5,0,1,1,1
15,0,0.07466666666666667,0,0.068,0,0,0,0.006666666666666667,0,0,5.3,0,1,1,1
20,0,0.053733333333333334,0,0.0034000000000000002,0,0,0,0.05033333333333333,0,0,8.465,0,1,1,1
25,0,0.04214933333333334,0,0.040136000000000005,0,0,0,0.002013333333333333,0,0,3.1386000000000003,0,1,1,1
30,0,0.001404977777777778,0,0.0013378666666666668,0,0,0,0.0000671111111111111,0,0,0.10462,0,1,1,1
35,0,0.028611570793650794,0,0.00003822476190476191,0,0,0,0.02857334603174603,0,0,3.2887034285714285,0,1,1,1
40,0,0.02571528926984127,0,0.02500095561904762,0,0,0,0.0007143336507936507,0,0,3.782217585714286,0,1,1,1
45,0,0.022793673094885364,0,0.0005555767915343915,0,0,0,0.022238096303350968,0,0,5.795160390793651,0,1,1,1
50,0,0.02045587346189771,0,0.020011111535830687,0,0,0,0.00044476192606701935,0,0,0.7759032078158731,0,1,1,1
55,0,0.036735561335670866,0,0.01854565657337874,0,0,0,0.01818990476229213,0,0,4.377743694687561,0,1,1,1
60,0,0.01727892602226118,0,0.000309094276222979,0,0,0,0.0003031650793715355,0.016666666666666666,0,1.4062957282447925,0,1,1,1
