time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0,0.2,0,0,0,0,0,7.4,32,0,1,0,1
10,0,0.32,0,0.02,0.2,0,0,0,0.1,0.74,45.5,0,1,0,1
15,0,0.28800000000000003,0,0.068,0.21333333333333335,0,0,0,0.006666666666666667,0.04933333333333333,28.433333333333334,0,1,0,1
20,0,0.2644,0,0.0534,0.16066666666666668,0,0,0.05,0.0003333333333333334,1.852466666666667,16.121666666666666,0,1,0,1
25,0,0.090576,0,0.04213599999999999,0.006426666666666667,0,0,0.002,0.04001333333333333,0.07409866666666667,6.004866666666667,0,1,0,1
30,0,0.03635253333333333,0,0.001404533333333333,0.00021422222222222226,0,0,0.0334,0.0013337777777777777,0.002469955555555556,4.400162222222222,0,1,0,1
35,0,0.029610072380952385,0,0.028611558095238094,0.0000061206349206349214,0,0,0.0009542857142857143,0.00003810793650793651,0.00007057015873015873,2.7257189206349204,0,1,0,1
40,0,0.02574025180952381,0,0.0007152889523809523,1.5301587301587304e-7,0,0,0.025023857142857143,9.526984126984127e-7,0.0000017642539682539683,2.943142973015873,0,1,0,1
45,0,0.0005720055957671958,0,0.000015895310052910053,3.4003527336860675e-9,0,0,0.0005560857142857142,2.1171075837742503e-8,3.9205643738977076e-8,0.3320698438447972,0,1,0,1
