time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0.2,0,0,0,0,0,0,0,22.2,0,1,0,1
10,0,0.22000000000000003,0.12,0,0,0,0,0.1,0,0,12.620000000000001,0,1,0,1
15,0,0.014666666666666668,0.008,0,0,0,0,0.006666666666666667,0,0,3.5080000000000005,0,1,0,1
20,0,0.10073333333333334,0.0504,0,0,0,0,0.05033333333333333,0,0,9.5754,0,1,0,1
25,0,0.08402933333333333,0.042016,0,0,0,0,0.04201333333333333,0,0,5.343016,0,1,0,1
30,0,0.06946764444444445,0.03473386666666667,0,0,0,0,0.03473377777777777,0,0,2.5781005333333336,0,1,0,1
35,0,0.08769907555555556,0.0009923961904761906,0.02857142857142857,0.02857142857142857,0,0,0.029563822222222223,0,0,5.959374300952381,0,1,0,1
40,0,0.02719247688888889,0.000024809904761904766,0.0007142857142857143,0.0007142857142857143,0,0,0.0007390955555555556,0.025,0,4.67398435752381,0,1,0,1
45,0,0.0006042772641975309,5.51331216931217e-7,0.000015873015873015872,0.000015873015873015872,0,0,0.000016424345679012345,0.0005555555555555556,0,1.1927552079449735,0,1,0,1
